id,file,line,status,commit_sha,notes
C-01,feature/signin/.../signIn/SignInScreen.kt,145,FIXED,pre-session,login success now navigates to DASHBOARD_ROUTE with popUpTo(0); current line ~152
C-02,feature/signin/.../signIn/SignInScreen.kt,129,FIXED,49503db,Phase 2 added SnackbarHost + rememberCoroutineScope; success message surfaced via showSnackbar(message)
C-03,core/ui/.../core/ui/PhoneEntryScreen.kt,111,FIXED,pre-session+49503db,bypass already removed pre-session; Phase 2 added PhoneEntryViewModelValidationTest to lock the gate
C-04,common/.../components/BaseeScreen.kt,55,FIXED,pre-session,back button now wired to onBackClick parameter via RoundIconButton
C-05,feature/home/presentation/.../components/DealsCard.kt,156,FIXED,pre-session,Rent Now button now uses hoisted onClick parameter
C-06,feature/home/presentation/.../components/DealsCard.kt,281,FIXED,pre-session,Book Now button now uses hoisted onClick parameter
C-07,feature/home/presentation/.../components/DealsCard.kt,349,FIXED,pre-session,Rent Now (gear) button now uses hoisted onClick parameter
C-08,app/.../pacedream/app/feature/home/HomeScreen.kt,97,FIXED,pre-session,onNotificationClick hoisted to caller; DashboardNavigation:323 navigates to "notifications"
C-09,app/.../feature/roommate/RoommateFinderScreen.kt,235,REMOVED,pre-session,RoommateFinder feature deleted entirely; FeatureFlags.ROOMMATE_FINDER added in 49503db gates any re-introduction
C-10,app/.../feature/roommate/RoommateFinderScreen.kt,80,REMOVED,pre-session,RoommateFinder feature deleted entirely; see C-09
C-11,app/.../bookingdetail/BookingDetailScreen.kt,67,FIXED,pre-session,onWriteReview defaults to no-op but DashboardNavigation supplies a real handler that navigates to write_review
H-01,app/.../ui/PaceDreamApp.kt,62,FIXED,pre-session,cross-NavHost host-mode property nav removed; host now switches to guest mode and lands on Home (no silent failure)
H-02,app/.../ui/PaceDreamApp.kt,66,FIXED,pre-session,host-mode booking nav removed entirely; host self-contains
H-03,app/.../navigation/DashboardNavigation.kt,746,FIXED,pre-session,Apply Filters now writes to SearchFiltersStore via EntryPoint at current line ~937
H-04,app/.../navigation/DashboardNavigation.kt,932,FIXED,pre-session,listing_calendar/{listingId} route now registered in dashboard NavHost at current line ~1177
H-05,feature/signin/.../signIn/SignInScreen.kt,165,FIXED,pre-session,Terms/Privacy use buildAnnotatedString + UriHandler at current lines ~174-201
H-06,feature/signin/.../createAccount/CreateAccountScreen.kt,150,FIXED,pre-session,same pattern as H-05; UriHandler.openUri called from ClickableText onClick
H-07,feature/chat/.../ChatScreen.kt,251,REMOVED,pre-session,call/video IconButtons removed; comment placeholder at line 251 documents the removal pending real calling feature
H-08,app/.../settings/SettingsRootScreen.kt,71,FIXED,pre-session,onLogoutClick is now a required parameter (no default value); call site supplies profileAuthGate.signOut()
H-09,app/.../settings/SettingsRootScreen.kt,70,FIXED,pre-session,onIdentityVerificationClick is now a required parameter (no default value)
H-10,app/.../feature/roommate/RoommateFinderScreen.kt,73,REMOVED,pre-session,RoommateFinder deleted; see C-09
H-11,feature/home/presentation/.../components/DashboardContent.kt,123,DEFERRED,(none),legacy DashboardContent is now dead code (only the legacy DashboardScreen.kt calls it and that screen has no callers in DashboardNavigation); zero user impact but the file still exists
H-12,feature/home/presentation/.../components/DashboardHeader.kt,156,FIXED,pre-session,search IconButton now wired to onSearchClick parameter at current line 161
